GE3,PC,T,EL	2.7 	3.0 	2.0 
GE3,PC,T,ES	5.2 	4.5 	4.3 
GE3,PC,T,EU28	8.4 	9.1 	7.0 
GE3,PC,T,FI	44.9 	49.2 	38.0 
GE3,PC,T,FR	4.6 	4.6 b	4.5 
GE3,PC,T,HR	6.2 	: 	7.6 
GE3,PC,T,HU	2.7 	1.7 b	1.3 
GE3,PC,T,IE	: 	1.3 	: 
GE3,PC,T,IT	4.4 	3.7 	6.7 
GE3,PC,T,LT	13.7 	11.9 	20.3 
GE3,PC,T,LU	51.2 b	72.0 	: 
GE3,PC,T,LV	12.7 	13.1 	12.0 
GE3,PC,T,MK	9.7 	: 	: 
GE3,PC,T,MT	16.2 	18.6 	22.8 
GE3,PC,T,NL	20.6 	23.7 	: 
GE3,PC,T,NO	43.7 	46.9 	46.1 
GE3,PC,T,PL	2.8 	4.0 	4.1 
GE3,PC,T,PT	15.3 	11.5 	8.9 
GE3,PC,T,RO	0.9 	: 	1.3 
GE3,PC,T,RS	20.5 	2.9 	: 
GE3,PC,T,SE	19.0 b	30.5 	19.4 
GE3,PC,T,SI	37.7 	44.9 	34.6 
GE3,PC,T,SK	28.0 	21.6 	32.6 
GE3,PC,T,TR	: 	: 	0.3 
GE3,PC,T,UK	5.0 b	: 	: 
